classification,reason,event_date,contribution_period,Krankenkasse,amount_paid,amount_outstanding,event_type,source_file,source_snippet,confidence
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,KKH,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/04-2021 #9109.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,KKH,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/04-2021 #9109.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-01-04,2021-04,KKH,775.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/04-2021 #9109__copy2.pdf,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,,2021-02,AOK Plus,-10000.00,,HEALTH_INSURANCE_EXTRACTED_ROW,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/02-2021 #9109.pdf,"Überweisung transfer -10.000,00",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-03-04,2021-06,AOK,1550.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/06-2021 #9109.pdf,": 49.482,40 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Maria Dimitrova 11.06.2021 11.06.2021 Überweisung Darlehen 05/2021 -1.400,00 Maria Dimitrova 11.06.2021 11.06.2021 Überweisung Lohn-Gehalt Abrechnung 05/2021 /abz gl.Vorauszahlun 1550,00 EUR. 12.05. 2021. -3,24 Kiril Nikolov - Deutsche Bank AG 11.06.2021 11.06.2021 Überweisung Lohn-",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-03-04,2021-06,AOK,1550.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/06-2021 #9109.pdf,": 49.482,40 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Maria Dimitrova 11.06.2021 11.06.2021 Überweisung Darlehen 05/2021 -1.400,00 Maria Dimitrova 11.06.2021 11.06.2021 Überweisung Lohn-Gehalt Abrechnung 05/2021 /abz gl.Vorauszahlun 1550,00 EUR. 12.05. 2021. -3,24 Kiril Nikolov - Deutsche Bank AG 11.06.2021 11.06.2021 Überweisung Lohn-",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-03-04,2021-06,AOK,1550.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/06-2021 #9109__copy2.pdf,": 49.482,40 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Maria Dimitrova 11.06.2021 11.06.2021 Überweisung Darlehen 05/2021 -1.400,00 Maria Dimitrova 11.06.2021 11.06.2021 Überweisung Lohn-Gehalt Abrechnung 05/2021 /abz gl.Vorauszahlun 1550,00 EUR. 12.05. 2021. -3,24 Kiril Nikolov - Deutsche Bank AG 11.06.2021 11.06.2021 Überweisung Lohn-",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-03-04,2021-06,AOK,1550.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/06-2021 #9109__copy3.pdf,": 49.482,40 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Maria Dimitrova 11.06.2021 11.06.2021 Überweisung Darlehen 05/2021 -1.400,00 Maria Dimitrova 11.06.2021 11.06.2021 Überweisung Lohn-Gehalt Abrechnung 05/2021 /abz gl.Vorauszahlun 1550,00 EUR. 12.05. 2021. -3,24 Kiril Nikolov - Deutsche Bank AG 11.06.2021 11.06.2021 Überweisung Lohn-",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,,2021-04,AOK Plus,-775.00,,HEALTH_INSURANCE_EXTRACTED_ROW,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/04-2021 #9109.pdf,"Überweisung Miete für 04/2021 -775,00",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-04-06,2021-07,AOK,1877.24,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/07-2021 #9109.pdf,"he der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Petar Goranov - Deutsche Bank 14.07.2021 15.07.2021 Überweisung Lohn-Gehalt Abrechnung 06/2021 -1.877,24 STAHLGRUBER 047 14.07.2021 14.07.2021 Kartenzahlung Referenz 54064955186394130721171045 Mandat 275032 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-07-13T1",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-04-06,2021-07,AOK,1877.24,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/07-2021 #9109.pdf,"he der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Petar Goranov - Deutsche Bank 14.07.2021 15.07.2021 Überweisung Lohn-Gehalt Abrechnung 06/2021 -1.877,24 STAHLGRUBER 047 14.07.2021 14.07.2021 Kartenzahlung Referenz 54064955186394130721171045 Mandat 275032 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-07-13T1",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-04-06,2021-07,AOK,1877.24,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/07-2021 #9109.pdf,"he der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Petar Goranov - Deutsche Bank 14.07.2021 15.07.2021 Überweisung Lohn-Gehalt Abrechnung 06/2021 -1.877,24 STAHLGRUBER 047 14.07.2021 14.07.2021 Kartenzahlung Referenz 54064955186394130721171045 Mandat 275032 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-07-13T1",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-04-06,2021-07,AOK,1877.24,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/07-2021 #9109__copy2.pdf,"he der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Petar Goranov - Deutsche Bank 14.07.2021 15.07.2021 Überweisung Lohn-Gehalt Abrechnung 06/2021 -1.877,24 STAHLGRUBER 047 14.07.2021 14.07.2021 Kartenzahlung Referenz 54064955186394130721171045 Mandat 275032 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-07-13T1",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-04-06,2021-07,KKH,1877.24,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/07-2021 #9109.pdf,"he der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Petar Goranov - Deutsche Bank 14.07.2021 15.07.2021 Überweisung Lohn-Gehalt Abrechnung 06/2021 -1.877,24 STAHLGRUBER 047 14.07.2021 14.07.2021 Kartenzahlung Referenz 54064955186394130721171045 Mandat 275032 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-07-13T1",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-04-06,2021-07,KKH,1877.24,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/07-2021 #9109.pdf,"he der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Petar Goranov - Deutsche Bank 14.07.2021 15.07.2021 Überweisung Lohn-Gehalt Abrechnung 06/2021 -1.877,24 STAHLGRUBER 047 14.07.2021 14.07.2021 Kartenzahlung Referenz 54064955186394130721171045 Mandat 275032 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-07-13T1",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-04-06,2021-07,KKH,1877.24,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/07-2021 #9109.pdf,"he der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Petar Goranov - Deutsche Bank 14.07.2021 15.07.2021 Überweisung Lohn-Gehalt Abrechnung 06/2021 -1.877,24 STAHLGRUBER 047 14.07.2021 14.07.2021 Kartenzahlung Referenz 54064955186394130721171045 Mandat 275032 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-07-13T1",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-04-06,2021-07,KKH,1877.24,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/07-2021 #9109__copy2.pdf,"he der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Petar Goranov - Deutsche Bank 14.07.2021 15.07.2021 Überweisung Lohn-Gehalt Abrechnung 06/2021 -1.877,24 STAHLGRUBER 047 14.07.2021 14.07.2021 Kartenzahlung Referenz 54064955186394130721171045 Mandat 275032 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-07-13T1",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,,2021-06,AOK Plus,-1400.00,-433.08,HEALTH_INSURANCE_EXTRACTED_ROW,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/06-2021 #9109.pdf,"Überweisung Darlehen 05/2021 -1.400,00",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-06-01,2021-09,AOK Nordost,92538.60,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/09-2021 #9109.pdf,"rmes Germany GmbH 08.09.2021 08.09.2021 Gutschrift Referenz 2000016306 Siehe Begleitschreiben vom 07.09.21 92.538,60 AXA Versicherung Aktiengesellschaft 08.09.2021 08.09.2021 Lastschrift Referenz 640024448580/0001 Mandat 21054898291 Einreicher-ID DE23G0100000066097 Kfz-Versicherung 30330554025 C-MC 4 25 BTR. 09/21 186,79 EUR -186,79 Atanas Madzharov 07.09.2021 07.09.2021 Überweisung Gehaltsvorschuss 09/2021 -500,00 M",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-06-01,2021-09,AOK PLUS,92538.60,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/09-2021 #9109.pdf,"rmes Germany GmbH 08.09.2021 08.09.2021 Gutschrift Referenz 2000016306 Siehe Begleitschreiben vom 07.09.21 92.538,60 AXA Versicherung Aktiengesellschaft 08.09.2021 08.09.2021 Lastschrift Referenz 640024448580/0001 Mandat 21054898291 Einreicher-ID DE23G0100000066097 Kfz-Versicherung 30330554025 C-MC 4 25 BTR. 09/21 186,79 EUR -186,79 Atanas Madzharov 07.09.2021 07.09.2021 Überweisung Gehaltsvorschuss 09/2021 -500,00 M",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-06-01,2021-09,KKH,92538.60,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/09-2021 #9109.pdf,"rmes Germany GmbH 08.09.2021 08.09.2021 Gutschrift Referenz 2000016306 Siehe Begleitschreiben vom 07.09.21 92.538,60 AXA Versicherung Aktiengesellschaft 08.09.2021 08.09.2021 Lastschrift Referenz 640024448580/0001 Mandat 21054898291 Einreicher-ID DE23G0100000066097 Kfz-Versicherung 30330554025 C-MC 4 25 BTR. 09/21 186,79 EUR -186,79 Atanas Madzharov 07.09.2021 07.09.2021 Überweisung Gehaltsvorschuss 09/2021 -500,00 M",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-06-01,2021-09,Techniker Krankenkasse,92538.60,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/09-2021 #9109.pdf,"rmes Germany GmbH 08.09.2021 08.09.2021 Gutschrift Referenz 2000016306 Siehe Begleitschreiben vom 07.09.21 92.538,60 AXA Versicherung Aktiengesellschaft 08.09.2021 08.09.2021 Lastschrift Referenz 640024448580/0001 Mandat 21054898291 Einreicher-ID DE23G0100000066097 Kfz-Versicherung 30330554025 C-MC 4 25 BTR. 09/21 186,79 EUR -186,79 Atanas Madzharov 07.09.2021 07.09.2021 Überweisung Gehaltsvorschuss 09/2021 -500,00 M",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,,2021-07,AOK Plus,-1877.24,-433.08,HEALTH_INSURANCE_EXTRACTED_ROW,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/07-2021 #9109.pdf,"Überweisung Lohn-Gehalt Abrechnung 06/2021 -1.877,24",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-07-26,2021-11,AOK Hessen,700.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/11-2021 #9109.pdf,"tand: 986,17 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Krasimir Kalev 02.11.2021 02.11.2021 Überweisung Vorauszahlung 10/2021 -700,00 Martin Visa Card 02.11.2021 02.11.2021 Überweisung transfer -100,00 Techniker Krankenkasse 02.11.2021 02.11.2021 Überweisung Referenz 5205586380Mandat MD5206418 F1Einreicher-ID DE51TK100000031158B NR: 89",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-07-26,2021-11,AOK Hessen,700.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/11-2021 #9109.pdf,"tand: 986,17 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Krasimir Kalev 02.11.2021 02.11.2021 Überweisung Vorauszahlung 10/2021 -700,00 Martin Visa Card 02.11.2021 02.11.2021 Überweisung transfer -100,00 Techniker Krankenkasse 02.11.2021 02.11.2021 Überweisung Referenz 5205586380Mandat MD5206418 F1Einreicher-ID DE51TK100000031158B NR: 89",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-07-26,2021-11,AOK Hessen,700.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/11-2021 #9109.pdf,"tand: 986,17 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Krasimir Kalev 02.11.2021 02.11.2021 Überweisung Vorauszahlung 10/2021 -700,00 Martin Visa Card 02.11.2021 02.11.2021 Überweisung transfer -100,00 Techniker Krankenkasse 02.11.2021 02.11.2021 Überweisung Referenz 5205586380Mandat MD5206418 F1Einreicher-ID DE51TK100000031158B NR: 89",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-07-26,2021-11,AOK Hessen,700.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/11-2021 #9109__copy2.pdf,"tand: 986,17 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Krasimir Kalev 02.11.2021 02.11.2021 Überweisung Vorauszahlung 10/2021 -700,00 Martin Visa Card 02.11.2021 02.11.2021 Überweisung transfer -100,00 Techniker Krankenkasse 02.11.2021 02.11.2021 Überweisung Referenz 5205586380Mandat MD5206418 F1Einreicher-ID DE51TK100000031158B NR: 89",HIGH
NORMAL_MONTHLY_PAYMENT,Payment amount exists but no arrears context is stated.,2021-07-26,2021-11,AOK Nordost,700.00,,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/11-2021 #9109.pdf,"tand: 986,17 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Krasimir Kalev 02.11.2021 02.11.2021 Überweisung Vorauszahlung 10/2021 -700,00 Martin Visa Card 02.11.2021 02.11.2021 Überweisung transfer -100,00 Techniker Krankenkasse 02.11.2021 02.11.2021 Überweisung Referenz 5205586380Mandat MD5206418 F1Einreicher-ID DE51TK100000031158B NR: 89",HIGH
