evidence_id,event_date,contribution_period,Krankenkasse,event_type,amount_due,due_date,amount_paid,payment_date,amount_outstanding,sender,recipient,communication_subject,communication_summary,payment_plan_status,source_file,source_path,source_page,source_snippet,extraction_method,confidence,duplicate_references,gap_flags
SI-390JS-5935-26-00011,,2020-07,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,1798.00,29.07.2025,1798.00,,,,,,,,Lohnauswertungen_Juli_2025__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2025__copy2.pdf,,"beiträge bereits bezahlt wurden. ***Finanzamt 09097 Chemnitz Bar/Einzug 215/291/01497 07/2025 1.798,00",existing_accounting_cash_flow_health_timeline,HIGH,,missing payment_date
SI-390JS-5935-26-00012,2020-11-03,2021-02,AOK Hessen,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00013,2020-11-03,2021-02,AOK Hessen,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00014,2020-11-03,2021-02,AOK Hessen,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00015,2020-11-03,2021-02,AOK Hessen,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/02-2021 #9109__copy2.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00016,2020-11-03,2021-02,AOK Nordost,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00017,2020-11-03,2021-02,AOK Nordost,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00018,2020-11-03,2021-02,AOK Nordost,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00019,2020-11-03,2021-02,AOK Nordost,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/02-2021 #9109__copy2.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00020,2020-11-03,2021-02,AOK PLUS,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00021,2020-11-03,2021-02,AOK PLUS,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00022,2020-11-03,2021-02,AOK PLUS,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00023,2020-11-03,2021-02,AOK PLUS,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/02-2021 #9109__copy2.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00024,2020-11-03,2021-02,KKH,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00025,2020-11-03,2021-02,KKH,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00026,2020-11-03,2021-02,KKH,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/02-2021 #9109.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00027,2020-11-03,2021-02,KKH,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,,,,,,,Health-insurance related document detected by text/path keywords.,,02-2021 #9109__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/02-2021 #9109__copy2.pdf,,"54,78 Höhe der eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € STAHLGRUBER 047 10.02.2021 10.02.2021 Kartenzahlung Referenz 54064955178983090221095536 Mandat 129198 Einreicher-ID DE07ZZZ00000843064 STAHLGRUBER GMBH//POING/DE Terminal 54064955 2021-02-09T09:55:36 Folgenr. 01 Verfalld. 2312 -165,65 Hermes Germany GmbH 10.02.2021 10.02.2021 Gutschrift R",pdf_fitz_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00028,2021-01-01,2021-01,AOK,HEALTH_INSURANCE_RELATED_DOCUMENT,,,,,,,,,Health-insurance related document detected by text/path keywords.,,SV-Nachweise.json,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/SV-Nachweise.json,,"{ ""filename"": ""SV-Nachweise.pdf"", ""extraction_method"": ""PyMuPDF fitz"", ""password_success"": ""YES"", ""text_length"": 130234, ""detected_insurance_name"": ""AOK"", ""detected_dates"": [ ""01.01.2021"", ""01.01.2022"", ""01.01.2023"", ""01.05.2022"", ""01.11.2022"", ""02.03.2021"", ""04.03.2022"", ""04.10.2022"", ""04.11.2022"", ""05.01.2003"", ""05.08.2021"", ""06.07.2022"", ""06.12.2022"", ""07.01.2022"", ""07.02.2023"", ""07.03.2023"", ""07.10.2022"", ""07.11.",text_file_keyword_scan,MEDIUM,,
SI-390JS-5935-26-00029,2021-01-04,2021-04,AOK Hessen,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,775.00,2021-01-04,,,,,Health-insurance related document detected by text/path keywords.,,04-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/old/2021/04-2021 #9109.pdf,,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",pdf_fitz_keyword_scan,HIGH,,
SI-390JS-5935-26-00030,2021-01-04,2021-04,AOK Hessen,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,775.00,2021-01-04,,,,,Health-insurance related document detected by text/path keywords.,,04-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/04-2021 #9109.pdf,,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",pdf_fitz_keyword_scan,HIGH,,
SI-390JS-5935-26-00031,2021-01-04,2021-04,AOK Hessen,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,,,775.00,2021-01-04,,,,,Health-insurance related document detected by text/path keywords.,,04-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/04-2021 #9109.pdf,,"eingeräumten Kontoüberziehung: 0,00 Auftraggeber/Begünstigter Buchung Wertstellung Art Verwendungszweck Betrag in € Rainer Neumeier - Garagenvermietung 12.04.2021 12.04.2021 Überweisung Miete für 04/2021 -775,00 ARAL AG 09.04.2021 09.04.2021 Kartenzahlung Referenz 71113573100487080421090017 Mandat 144400 Einreicher-ID DE79ZZZ00000465117 ARAL Niederdorf Neue Schichtstra-e 16//Niederdorf/DE Terminal 71113573 2021-04-08",pdf_fitz_keyword_scan,HIGH,,
