package_item_no,tier,date,filename,document_type,Krankenkasse,fact_established,why_directly_relevant_to_police_request,source_path,duplicate_status,evidence_signature,confidence
26,TIER_3_AVAILABLE_ON_REQUEST,,agb_doc.pdf,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/agb_doc.pdf,DUPLICATE_OR_COPY,agb_doc.pdf,HIGH
27,TIER_2_SUPPORTING,,BKK_Linde_Ratenzahlung.json,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/BKK_Linde_Ratenzahlung.json,UNIQUE,bkk_linde_ratenzahlung.json,HIGH
28,TIER_2_SUPPORTING,2022-02-08,aktuelle Unbedenklichkeitsbescheinigungen.pdf,UNBEDENKLICHKEITSBESCHEINIGUNG_PAID_CLEAR,AOK,UNBEDENKLICHKEITSBESCHEINIGUNG_PAID_CLEAR,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/aktuelle Unbedenklichkeitsbescheinigungen.pdf,UNIQUE,aktuelle unbedenklichkeitsbescheinigungen.pdf,HIGH
29,TIER_3_AVAILABLE_ON_REQUEST,2022-02-08,aktuelle Unbedenklichkeitsbescheinigungen.pdf,UNBEDENKLICHKEITSBESCHEINIGUNG,AOK Nordost,UNBEDENKLICHKEITSBESCHEINIGUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2. Sozialversicherungsanmeldungen/old/аb 2021 - 2022/aktuelle Unbedenklichkeitsbescheinigungen.pdf,DUPLICATE_OR_COPY,aktuelle unbedenklichkeitsbescheinigungen.pdf,HIGH
30,TIER_3_AVAILABLE_ON_REQUEST,2022-02-08,aktuelle Unbedenklichkeitsbescheinigungen__copy2.pdf,UNBEDENKLICHKEITSBESCHEINIGUNG,AOK Nordost,UNBEDENKLICHKEITSBESCHEINIGUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/aktuelle Unbedenklichkeitsbescheinigungen__copy2.pdf,DUPLICATE_OR_COPY,aktuelle unbedenklichkeitsbescheinigungen.pdf,HIGH
31,TIER_3_AVAILABLE_ON_REQUEST,2022-02-08,aktuelle Unbedenklichkeitsbescheinigungen__copy3.pdf,UNBEDENKLICHKEITSBESCHEINIGUNG,AOK Nordost,UNBEDENKLICHKEITSBESCHEINIGUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/aktuelle Unbedenklichkeitsbescheinigungen__copy3.pdf,DUPLICATE_OR_COPY,aktuelle unbedenklichkeitsbescheinigungen.pdf,HIGH
32,TIER_2_SUPPORTING,2023-10-30,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/accountings112023/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,UNIQUE,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,HIGH
33,TIER_3_AVAILABLE_ON_REQUEST,2023-10-30,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/01_Accountant_Emails/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,DUPLICATE_OR_COPY,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,HIGH
34,TIER_3_AVAILABLE_ON_REQUEST,2023-10-30,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,DUPLICATE_OR_COPY,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,HIGH
35,TIER_3_AVAILABLE_ON_REQUEST,2023-10-30,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a__copy2.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a__copy2.pdf,DUPLICATE_OR_COPY,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,HIGH
36,TIER_2_SUPPORTING,2023-12-28,"39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting/accountings112023/39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",UNIQUE,"39739 - rechnung 231128_2023 vom 28.12.2023, aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, mandant 42303.pdf",MEDIUM
37,TIER_3_AVAILABLE_ON_REQUEST,2023-12-28,"39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting_Organized/01_Accountant_Emails/39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",DUPLICATE_OR_COPY,"39739 - rechnung 231128_2023 vom 28.12.2023, aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, mandant 42303.pdf",MEDIUM
38,TIER_3_AVAILABLE_ON_REQUEST,2023-12-28,"39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting_Organized/08_Operating_Costs/39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",DUPLICATE_OR_COPY,"39739 - rechnung 231128_2023 vom 28.12.2023, aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, mandant 42303.pdf",MEDIUM
39,TIER_3_AVAILABLE_ON_REQUEST,2023-12-28,"39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303__copy2.pdf",ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting_Organized/08_Operating_Costs/39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303__copy2.pdf",DUPLICATE_OR_COPY,"39739 - rechnung 231128_2023 vom 28.12.2023, aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, mandant 42303.pdf",MEDIUM
40,TIER_2_SUPPORTING,2024-01-11,10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK Hessen,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,UNIQUE,10001_12-2023_divauswertungen_divmitarbeiter_zz1.pdf,MEDIUM
41,TIER_3_AVAILABLE_ON_REQUEST,2024-01-11,10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK Hessen,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,DUPLICATE_OR_COPY,10001_12-2023_divauswertungen_divmitarbeiter_zz1.pdf,MEDIUM
42,TIER_3_AVAILABLE_ON_REQUEST,2024-01-11,10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1__copy2.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK Hessen,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1__copy2.pdf,DUPLICATE_OR_COPY,10001_12-2023_divauswertungen_divmitarbeiter_zz1.pdf,MEDIUM
43,TIER_3_AVAILABLE_ON_REQUEST,2024-01-11,10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK Hessen,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/13_Unknown_To_Review/10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,DUPLICATE_OR_COPY,10001_12-2023_divauswertungen_divmitarbeiter_zz1.pdf,MEDIUM
44,TIER_2_SUPPORTING,2024-01-12,10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,UNIQUE,10001_12-2023_brutto_nettoprobe_00025_zz1.pdf,MEDIUM
45,TIER_2_SUPPORTING,2024-01-12,Pay Roll 12.2023.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/payroll12_2023/Pay Roll 12.2023.pdf,UNIQUE,pay roll 12.2023.pdf,MEDIUM
46,TIER_3_AVAILABLE_ON_REQUEST,2024-01-12,10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,DUPLICATE_OR_COPY,10001_12-2023_brutto_nettoprobe_00025_zz1.pdf,MEDIUM
47,TIER_3_AVAILABLE_ON_REQUEST,2024-01-12,10001_12-2023_Brutto_NettoProbe_00025_ZZ1__copy2.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_12-2023_Brutto_NettoProbe_00025_ZZ1__copy2.pdf,DUPLICATE_OR_COPY,10001_12-2023_brutto_nettoprobe_00025_zz1.pdf,MEDIUM
48,TIER_3_AVAILABLE_ON_REQUEST,2024-01-12,Pay Roll 12.2023.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Pay Roll 12.2023.pdf,DUPLICATE_OR_COPY,pay roll 12.2023.pdf,MEDIUM
49,TIER_3_AVAILABLE_ON_REQUEST,2024-01-12,Pay Roll 12.2023__copy2.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Pay Roll 12.2023__copy2.pdf,DUPLICATE_OR_COPY,pay roll 12.2023.pdf,MEDIUM
50,TIER_3_AVAILABLE_ON_REQUEST,2024-01-12,10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/13_Unknown_To_Review/10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,DUPLICATE_OR_COPY,10001_12-2023_brutto_nettoprobe_00025_zz1.pdf,MEDIUM
51,TIER_3_AVAILABLE_ON_REQUEST,2024-01-12,Pay Roll 12.2023.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/13_Unknown_To_Review/Pay Roll 12.2023.pdf,DUPLICATE_OR_COPY,pay roll 12.2023.pdf,MEDIUM
52,TIER_2_SUPPORTING,2024-01-29,"40850 - Rechnung 240213_2024 vom 29.01.2024, Aufträge 31_24, 32_23, 33_23, 33_24, 34_24, 98_24, Mandant 42303.pdf",ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting/accountings012024/40850 - Rechnung 240213_2024 vom 29.01.2024, Aufträge 31_24, 32_23, 33_23, 33_24, 34_24, 98_24, Mandant 42303.pdf",UNIQUE,"40850 - rechnung 240213_2024 vom 29.01.2024, aufträge 31_24, 32_23, 33_23, 33_24, 34_24, 98_24, mandant 42303.pdf",MEDIUM
53,TIER_3_AVAILABLE_ON_REQUEST,,agb_doc.pdf,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/ihrebestellung465795beiwebergmbh/agb_doc.pdf,DUPLICATE_OR_COPY,agb_doc.pdf,HIGH
54,TIER_3_AVAILABLE_ON_REQUEST,,agb_doc.pdf,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/agb_doc.pdf,DUPLICATE_OR_COPY,agb_doc.pdf,HIGH
55,TIER_3_AVAILABLE_ON_REQUEST,,agb_doc__copy2.pdf,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/agb_doc__copy2.pdf,DUPLICATE_OR_COPY,agb_doc.pdf,HIGH
56,TIER_3_AVAILABLE_ON_REQUEST,,agb_doc.pdf,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/agb_doc.pdf,DUPLICATE_OR_COPY,agb_doc.pdf,HIGH
57,TIER_3_AVAILABLE_ON_REQUEST,,BKK_Linde_Ratenzahlung.json,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/BKK_Linde_Ratenzahlung.json,DUPLICATE_OR_COPY,bkk_linde_ratenzahlung.json,HIGH
58,TIER_1_INITIAL_POLICE_PACKAGE,2025-02-03,"89878877, Antrag auf Ratenzahlung.eml",UNBEDENKLICHKEITSBESCHEINIGUNG,AOK,UNBEDENKLICHKEITSBESCHEINIGUNG,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting/89878877, Antrag auf Ratenzahlung.eml",UNIQUE,"89878877, antrag auf ratenzahlung.eml",HIGH
59,TIER_3_AVAILABLE_ON_REQUEST,2025-02-03,"89878877, Antrag auf Ratenzahlung.eml",UNBEDENKLICHKEITSBESCHEINIGUNG,AOK,UNBEDENKLICHKEITSBESCHEINIGUNG,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting_Organized/01_Accountant_Emails/89878877, Antrag auf Ratenzahlung.eml",DUPLICATE_OR_COPY,"89878877, antrag auf ratenzahlung.eml",HIGH
60,TIER_3_AVAILABLE_ON_REQUEST,2025-02-03,"89878877, Antrag auf Ratenzahlung__copy2.eml",UNBEDENKLICHKEITSBESCHEINIGUNG,AOK,UNBEDENKLICHKEITSBESCHEINIGUNG,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting_Organized/01_Accountant_Emails/89878877, Antrag auf Ratenzahlung__copy2.eml",DUPLICATE_OR_COPY,"89878877, antrag auf ratenzahlung.eml",HIGH
