police_category,rank,document,date,Krankenkasse,fact_established,why_needed,source_path,source_snippet,confidence
A,CORE,Entgeltbescheinigungen 12-2024.pdf,,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 12-2024.pdf,"AOK AOK PLUS Die Gesundheit 01058 Dresden Überweisung 89878877 13.913,67 AOK Hessen 61281 Bad Homburg Überweisung 89878877 1.244,22 BKK BKK Linde 65030 Wiesbaden Überweisung 89878877 2.784,05 BKK SBK 80227 München Überweisung 89878877 1.125,14 BKK VIACTIV Krankenkasse 44803 Bochum Überweisung 89878877 1.298,00 EK BARMER 42271 Wuppertal Überweisung 89878877 1.159,45 EK DAK-Gesundheit 20097 Hamburg Überweisung 89878877 1.151,97 EK KKH Kaufmännische Kranke 30625 Hannover Überweisung 89878877 12.737",MEDIUM
A,CORE,Entgeltbescheinigungen 01-2025.pdf,,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2025/Entgeltbescheinigungen 01-2025.pdf,"AOK AOK Hessen Direktion 61281 Bad Homburg Überweisung 89878877 1.244,22 AOK AOK PLUS Die Gesundheit 01058 Dresden Überweisung 89878877 17.743,16 BKK BKK Linde 65030 Wiesbaden Überweisung 89878877 2.268,34 BKK SBK HV West 80227 München Überweisung 89878877 1.125,14 BKK VIACTIV Krankenkasse 44803 Bochum Überweisung 89878877 1.262,80 EK BARMER (vormals BARMER G 42271 Wuppertal Überweisung 89878877 1.159,45 EK DAK-Gesundheit 20097 Hamburg Überweisung 89878877 1.151,97 EK KKH Kaufmännische Kranke 30",MEDIUM
A,CORE,Cash-Payment.pdf,2025-01-15,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungendezember2024/Cash-Payment.pdf,"59798 10001 Usti Nad Labem 27 Seite: 1 09119 Chemnitz VKZ: X0I Barauszahlungswerte Dezember 2024 Pers.-Nr. Name Betrag/Euro VKZ 00094 Neamtu Ionel 1.851,10 X0B 00107 Sandu Narcis-Ionut 1.821,13 X0B 00110 Petrea Ciprian-Nicolae 2.372,92 X0B --------------------------------------------------------------------------------------- Zahlungsvorgänge Anzahl: 3 Gesamtsumme: 6.045,15 *",HIGH
A,CORE,Cash-Payment.pdf,2025-01-15,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Cash-Payment.pdf,"59798 10001 Usti Nad Labem 27 Seite: 1 09119 Chemnitz VKZ: X0I Barauszahlungswerte Dezember 2024 Pers.-Nr. Name Betrag/Euro VKZ 00094 Neamtu Ionel 1.851,10 X0B 00107 Sandu Narcis-Ionut 1.821,13 X0B 00110 Petrea Ciprian-Nicolae 2.372,92 X0B --------------------------------------------------------------------------------------- Zahlungsvorgänge Anzahl: 3 Gesamtsumme: 6.045,15 *",HIGH
A,CORE,Cash-Payment__copy2.pdf,2025-01-15,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Cash-Payment__copy2.pdf,"59798 10001 Usti Nad Labem 27 Seite: 1 09119 Chemnitz VKZ: X0I Barauszahlungswerte Dezember 2024 Pers.-Nr. Name Betrag/Euro VKZ 00094 Neamtu Ionel 1.851,10 X0B 00107 Sandu Narcis-Ionut 1.821,13 X0B 00110 Petrea Ciprian-Nicolae 2.372,92 X0B --------------------------------------------------------------------------------------- Zahlungsvorgänge Anzahl: 3 Gesamtsumme: 6.045,15 *",HIGH
A,CORE,Cash-Payment.pdf,2025-01-15,AOK,PAYMENT_EVIDENCE_OR_PAYMENT_LIST,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/13_Unknown_To_Review/Cash-Payment.pdf,"59798 10001 Usti Nad Labem 27 Seite: 1 09119 Chemnitz VKZ: X0I Barauszahlungswerte Dezember 2024 Pers.-Nr. Name Betrag/Euro VKZ 00094 Neamtu Ionel 1.851,10 X0B 00107 Sandu Narcis-Ionut 1.821,13 X0B 00110 Petrea Ciprian-Nicolae 2.372,92 X0B --------------------------------------------------------------------------------------- Zahlungsvorgänge Anzahl: 3 Gesamtsumme: 6.045,15 *",HIGH
A,CORE,Entgeltbescheinigungen 02-2025.pdf,,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2025/Entgeltbescheinigungen 02-2025.pdf,"AOK AOK Hessen Direktion 61281 Bad Homburg Überweisung 89878877 1.158,76 AOK AOK PLUS Die Gesundheit 01058 Dresden Überweisung 89878877 13.812,22 BKK BKK Linde 65030 Wiesbaden Überweisung 89878877 2.164,10 BKK SBK HV West 80227 München Keine Überw. 89878877 311,03- BKK VIACTIV Krankenkasse 44803 Bochum Überweisung 89878877 1.146,76 EK BARMER (vormals BARMER G 42271 Wuppertal Überweisung 89878877 1.099,59 EK DAK-Gesundheit 20097 Hamburg Überweisung 89878877 1.079,21 EK KKH Kaufmännische Kranke 30",MEDIUM
A,CORE,BWA 03-2025.pdf,,TK,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/08_Operating_Costs/BWA 03-2025.pdf,"Beiträge 801,50",HIGH
A,CORE,Entgeltbescheinigungen 04-2025.pdf,,AOK Hessen,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2025/Entgeltbescheinigungen 04-2025.pdf,"AOK Hessen 61281 Bad Homburg Keine Überw. 89878877 348,81- AOK PLUS 01058 Dresden Überweisung 89878877 9.962,60 BKK Linde 65030 Wiesbaden Überweisung 89878877 2.044,44 BKK VIACTIV Krankenkasse 44803 Bochum Überweisung 89878877 1.204,78 EK BARMER 42271 Wuppertal Überweisung 89878877 1.129,52 EK DAK-Gesundheit 20097 Hamburg Überweisung 89878877 1.115,59 EK Kaufmännische Krankenkas 30625 Hannover Überweisung 89878877 12.703,16 EK Techniker Krankenkasse 22305 Hamburg Überweisung 89878877 1.094,96 Fä",MEDIUM
A,CORE,Entgeltbescheinigungen 05-2025.pdf,,AOK PLUS,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2025/Entgeltbescheinigungen 05-2025.pdf,"AOK PLUS 01058 Dresden Überweisung 89878877 9.606,05 BKK Linde 65030 Wiesbaden Überweisung 89878877 2.271,15 BKK VIACTIV Krankenkasse 44803 Bochum Überweisung 89878877 1.204,78 EK BARMER 42271 Wuppertal Überweisung 89878877 1.129,52 EK DAK-Gesundheit 20097 Hamburg Überweisung 89878877 1.413,92 EK Kaufmännische Krankenkas 30625 Hannover Überweisung 89878877 10.362,58 EK Techniker Krankenkasse 22305 Hamburg Überweisung 89878877 1.094,96 Fälligkeit bis: 27.05.2025 (1) 27.082,96 * G e s a m t s u m ",MEDIUM
A,CORE,Entgeltbescheinigungen 06-2025.pdf,,AOK PLUS,CONTRIBUTION_DUE_OR_NOTIFICATION,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2025/Entgeltbescheinigungen 06-2025.pdf,"AOK NordWest 58079 Hagen Überweisung 89878877 4.799,13 AOK PLUS 01058 Dresden Überweisung 89878877 889,73 BKK Linde 65030 Wiesbaden Überweisung 89878877 2.200,74 BKK VIACTIV Krankenkasse 44803 Bochum Überweisung 89878877 1.127,04 EK BARMER 42271 Wuppertal Überweisung 89878877 1.129,52 EK DAK-Gesundheit 20097 Hamburg Keine Überw. 89878877 1.007,61- EK Kaufmännische Krankenkas 30625 Hannover Überweisung 89878877 383,40 EK Techniker Krankenkasse 22305 Hamburg Überweisung 89878877 812,38 Fälligkeit ",MEDIUM
A,CORE,Tabelle nach § 175 InsO mit Grund des Bestreitens.pdf,,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Tabelle nach § 175 InsO mit Grund des Bestreitens.pdf,"Beiträge EUR GESAMTFORDERUNG 30.000,00",HIGH
B,CORE,agb_doc.pdf,,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/ihrebestellung465795beiwebergmbh/agb_doc.pdf,[[page 1]] Allgemeine Geschäftsbedingungen mit Kundeninformationen Inhaltsverzeichnis 1. Geltungsbereich 2. Vertragsschluss 3. Widerrufsrecht 4. Preise und Zahlungsbedingungen 5. Liefer- und Versandbedingungen 6. Eigentumsvorbehalt 7. Mängelhaftung (Gewährleistung) 8. Besondere Bedingungen für die Verarbeitung von Waren nach bestimmten Vorgaben des Kunden 9. Besondere Bedingungen für Reparaturleistungen 10. Einlösung,HIGH
B,CORE,agb_doc.pdf,,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/agb_doc.pdf,[[page 1]] Allgemeine Geschäftsbedingungen mit Kundeninformationen Inhaltsverzeichnis 1. Geltungsbereich 2. Vertragsschluss 3. Widerrufsrecht 4. Preise und Zahlungsbedingungen 5. Liefer- und Versandbedingungen 6. Eigentumsvorbehalt 7. Mängelhaftung (Gewährleistung) 8. Besondere Bedingungen für die Verarbeitung von Waren nach bestimmten Vorgaben des Kunden 9. Besondere Bedingungen für Reparaturleistungen 10. Einlösung,HIGH
B,CORE,agb_doc__copy2.pdf,,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/agb_doc__copy2.pdf,[[page 1]] Allgemeine Geschäftsbedingungen mit Kundeninformationen Inhaltsverzeichnis 1. Geltungsbereich 2. Vertragsschluss 3. Widerrufsrecht 4. Preise und Zahlungsbedingungen 5. Liefer- und Versandbedingungen 6. Eigentumsvorbehalt 7. Mängelhaftung (Gewährleistung) 8. Besondere Bedingungen für die Verarbeitung von Waren nach bestimmten Vorgaben des Kunden 9. Besondere Bedingungen für Reparaturleistungen 10. Einlösung,HIGH
B,CORE,agb_doc.pdf,,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/agb_doc.pdf,[[page 1]] Allgemeine Geschäftsbedingungen mit Kundeninformationen Inhaltsverzeichnis 1. Geltungsbereich 2. Vertragsschluss 3. Widerrufsrecht 4. Preise und Zahlungsbedingungen 5. Liefer- und Versandbedingungen 6. Eigentumsvorbehalt 7. Mängelhaftung (Gewährleistung) 8. Besondere Bedingungen für die Verarbeitung von Waren nach bestimmten Vorgaben des Kunden 9. Besondere Bedingungen für Reparaturleistungen 10. Einlösung,HIGH
B,CORE,BKK_Linde_Ratenzahlung.json,,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/BKK_Linde_Ratenzahlung.json,"{ ""filename"": ""BKK Linde Ratenzahlung.pdf"", ""extraction_method"": ""OCR_REQUIRED after PyMuPDF/pypdf/pdfplumber/OCR attempts"", ""password_success"": ""NO"", ""text_length"": 0, ""detected_insurance_name"": ""BKK Linde"", ""detected_dates"": [], ""detected_amounts"": [], ""status"": ""OCR_REQUIRED"", ""source_file"": ""00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/BKK Linde Ratenzahlung.pdf"", ""technical_errors"": [ ""P",HIGH
C,CORE,aktuelle Unbedenklichkeitsbescheinigungen.pdf,2022-02-08,AOK,UNBEDENKLICHKEITSBESCHEINIGUNG_PAID_CLEAR,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/aktuelle Unbedenklichkeitsbescheinigungen.pdf,"vorgenannten Betriebsnummer geführten Arbeitgeberkonto, derzeit keine Beitragsrückstände",HIGH
C,CORE,aktuelle Unbedenklichkeitsbescheinigungen.pdf,2022-02-08,AOK Nordost,UNBEDENKLICHKEITSBESCHEINIGUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/2. Sozialversicherungsanmeldungen/old/аb 2021 - 2022/aktuelle Unbedenklichkeitsbescheinigungen.pdf,[[page 1]] AOK Nordost · 14456 Potsdam AOK Nordost Die Gesundheitskasse Firmenkundenservice Postanschrift 14456 Potsdam Ihre Gesprächspartnerin Pauline Pontow Telefon (kostenfrei) 0800 265080-23866 Fax 0800 265080-49418 E-Mail Service www.aok.de/nordost/mail Datum 08.02.2022 Unser Zeichen (Bitte stets angeben) 89878877 - VER/2/0/10 AOK-Service-Telefon: rund um die Uhr – 0800 2650800 (Inland) bzw. +49 331 2772-1111 (A,HIGH
C,CORE,aktuelle Unbedenklichkeitsbescheinigungen__copy2.pdf,2022-02-08,AOK Nordost,UNBEDENKLICHKEITSBESCHEINIGUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/aktuelle Unbedenklichkeitsbescheinigungen__copy2.pdf,[[page 1]] AOK Nordost · 14456 Potsdam AOK Nordost Die Gesundheitskasse Firmenkundenservice Postanschrift 14456 Potsdam Ihre Gesprächspartnerin Pauline Pontow Telefon (kostenfrei) 0800 265080-23866 Fax 0800 265080-49418 E-Mail Service www.aok.de/nordost/mail Datum 08.02.2022 Unser Zeichen (Bitte stets angeben) 89878877 - VER/2/0/10 AOK-Service-Telefon: rund um die Uhr – 0800 2650800 (Inland) bzw. +49 331 2772-1111 (A,HIGH
C,CORE,aktuelle Unbedenklichkeitsbescheinigungen__copy3.pdf,2022-02-08,AOK Nordost,UNBEDENKLICHKEITSBESCHEINIGUNG,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/aktuelle Unbedenklichkeitsbescheinigungen__copy3.pdf,[[page 1]] AOK Nordost · 14456 Potsdam AOK Nordost Die Gesundheitskasse Firmenkundenservice Postanschrift 14456 Potsdam Ihre Gesprächspartnerin Pauline Pontow Telefon (kostenfrei) 0800 265080-23866 Fax 0800 265080-49418 E-Mail Service www.aok.de/nordost/mail Datum 08.02.2022 Unser Zeichen (Bitte stets angeben) 89878877 - VER/2/0/10 AOK-Service-Telefon: rund um die Uhr – 0800 2650800 (Inland) bzw. +49 331 2772-1111 (A,HIGH
C,CORE,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,2023-10-30,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/accountings112023/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,"42303 Rechnungsnummer: 230946 Rechnungsjahr: 2023 Übertrag 1.318,60 EUR Bezeichnung §, Abs., Nr. Zeitraum Gegenstandswert Satz Betrag Tab. § 16 StBVV 4 15,00 EUR Pfändungen Garnishment 60,00 EUR AN September/2023 Marco Brunettin 1.398,60 EUR 1.664,33 EUR 265,73 EUR Summe Nettobeträge Umsatzsteuerbetrag 19,00 % gemäß § 15 StBVV Rechnungsbetrag Bitte überweisen Sie den offenen Rechnungsbetrag unter Angabe der Rechnungs",HIGH
C,CORE,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,2023-10-30,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/01_Accountant_Emails/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,"42303 Rechnungsnummer: 230946 Rechnungsjahr: 2023 Übertrag 1.318,60 EUR Bezeichnung §, Abs., Nr. Zeitraum Gegenstandswert Satz Betrag Tab. § 16 StBVV 4 15,00 EUR Pfändungen Garnishment 60,00 EUR AN September/2023 Marco Brunettin 1.398,60 EUR 1.664,33 EUR 265,73 EUR Summe Nettobeträge Umsatzsteuerbetrag 19,00 % gemäß § 15 StBVV Rechnungsbetrag Bitte überweisen Sie den offenen Rechnungsbetrag unter Angabe der Rechnungs",HIGH
C,CORE,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,2023-10-30,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,"42303 Rechnungsnummer: 230946 Rechnungsjahr: 2023 Übertrag 1.318,60 EUR Bezeichnung §, Abs., Nr. Zeitraum Gegenstandswert Satz Betrag Tab. § 16 StBVV 4 15,00 EUR Pfändungen Garnishment 60,00 EUR AN September/2023 Marco Brunettin 1.398,60 EUR 1.664,33 EUR 265,73 EUR Summe Nettobeträge Umsatzsteuerbetrag 19,00 % gemäß § 15 StBVV Rechnungsbetrag Bitte überweisen Sie den offenen Rechnungsbetrag unter Angabe der Rechnungs",HIGH
C,CORE,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a__copy2.pdf,2023-10-30,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a__copy2.pdf,"42303 Rechnungsnummer: 230946 Rechnungsjahr: 2023 Übertrag 1.318,60 EUR Bezeichnung §, Abs., Nr. Zeitraum Gegenstandswert Satz Betrag Tab. § 16 StBVV 4 15,00 EUR Pfändungen Garnishment 60,00 EUR AN September/2023 Marco Brunettin 1.398,60 EUR 1.664,33 EUR 265,73 EUR Summe Nettobeträge Umsatzsteuerbetrag 19,00 % gemäß § 15 StBVV Rechnungsbetrag Bitte überweisen Sie den offenen Rechnungsbetrag unter Angabe der Rechnungs",HIGH
C,CORE,"39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",2023-12-28,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting/accountings112023/39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf","g von Lohnkonten und Aufnahme der Stammdaten 25,00 EUR AN November/2023 2 15,00 EUR Abmeldung eines Arbeitnehmers nach § 25 DEÜV 30,00 EUR AN November/2023 1 15,00 EUR Pfändungen Garnishment 15,00 EUR AN November/2023 1 15,00 EUR Bescheinigung für die Familienkasse Certificate for the family fund 15,00 EUR AN November/2023 Seite 1 Übertrag 1.298,60 EUR [[page 2]] Mandantennummer: 42303 Rechnungsnummer: 231128 Rechnun",MEDIUM
