filename,full_path,file_type,detected_document_type,reason_not_processed,password_attempted,password_success,text_extracted,structured_rows_extracted,missing_required_fields,recommended_next_action,confidence,status
a_002.htm,00_INBOX - Входящи - Eingang/Accounting/Accountings 02-2025 - martin.zahariev@gmail.com - Gmail_files/a_002.htm,.htm,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
Accountings 01-2025.eml::Accountings 01-2025.pdf,00_INBOX - Входящи - Eingang/Accounting/Accountings 01-2025.eml::Accountings 01-2025.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"Accountings 05-2024.eml::42585 - Rechnung 240587_2024 vom 29.06.2024, Aufträge 31_24, 33_23, 33_24, 34_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/Accountings 05-2024.eml::42585 - Rechnung 240587_2024 vom 29.06.2024, Aufträge 31_24, 33_23, 33_24, 34_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings022024.zip::41467 - Accountings 02-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings022024.zip::41467 - Accountings 02-2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings022024.zip::41261 - Rechnung 240303_2024 vom 27.03.2024, Aufträge 31_24, 33_24, 34_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings022024.zip::41261 - Rechnung 240303_2024 vom 27.03.2024, Aufträge 31_24, 33_24, 34_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings022025.zip::Accountings 02-2025.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings022025.zip::Accountings 02-2025.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings022025.zip::46851 - Rechnung 250303_2025 vom 31.03.2025, Aufträge 31_25, 33_25, 34_25, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings022025.zip::46851 - Rechnung 250303_2025 vom 31.03.2025, Aufträge 31_25, 33_25, 34_25, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings032024.zip::Accountings 03-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings032024.zip::Accountings 03-2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings032024.zip::41683 - Rechnung 240393_2024 vom 30.04.2024, Aufträge 31_24, 32_24, 33_24, 34_24, 98_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings032024.zip::41683 - Rechnung 240393_2024 vom 30.04.2024, Aufträge 31_24, 32_24, 33_24, 34_24, 98_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings042024.zip::Accountings 04-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings042024.zip::Accountings 04-2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings042024.zip::42108 - Rechnung 240498_2024 vom 30.05.2024, Aufträge 21_24, 31_24, 32_24, 33_24, 34_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings042024.zip::42108 - Rechnung 240498_2024 vom 30.05.2024, Aufträge 21_24, 31_24, 32_24, 33_24, 34_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings052024.zip::Accountings 05-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings052024.zip::Accountings 05-2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings052024.zip::42585 - Rechnung 240587_2024 vom 29.06.2024, Aufträge 31_24, 33_23, 33_24, 34_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings052024.zip::42585 - Rechnung 240587_2024 vom 29.06.2024, Aufträge 31_24, 33_23, 33_24, 34_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings062024.zip::Accountings 06-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings062024.zip::Accountings 06-2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings062024.zip::43029 - Rechnung 240697_2024 vom 31.07.2024, Aufträge 21_23, 21_24, 31_22, 31_23, 31_24, 33_24, 34_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings062024.zip::43029 - Rechnung 240697_2024 vom 31.07.2024, Aufträge 21_23, 21_24, 31_22, 31_23, 31_24, 33_24, 34_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings072024.zip::Accountings 07-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings072024.zip::Accountings 07-2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings072024.zip::43617 - Rechnung 240857_2024 vom 30.08.2024, Aufträge 31_24, 32_24, 33_24, 34_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings072024.zip::43617 - Rechnung 240857_2024 vom 30.08.2024, Aufträge 31_24, 32_24, 33_24, 34_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings092024.zip::Accountings 09-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings092024.zip::Accountings 09-2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings092024.zip::44458 - Rechnung 241068_2024 vom 30.10.2024, Aufträge 31_24, 33_24, 34_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings092024.zip::44458 - Rechnung 241068_2024 vom 30.10.2024, Aufträge 31_24, 33_24, 34_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings102024.zip::Accountings 10-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings102024.zip::Accountings 10-2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings102024.zip::45027 - Rechnung 241185_2024 vom 29.11.2024, Aufträge 31_24, 33_24, 34_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings102024.zip::45027 - Rechnung 241185_2024 vom 29.11.2024, Aufträge 31_24, 33_24, 34_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings112024.zip::Accountings 11-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings112024.zip::Accountings 11-2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings112024.zip::45474 - Rechnung 241289_2024 vom 27.12.2024, Aufträge 21_24, 31_24, 32_24, 33_24, 34_24, 35_21, 35_24, 50_24, 98_24, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings112024.zip::45474 - Rechnung 241289_2024 vom 27.12.2024, Aufträge 21_24, 31_24, 32_24, 33_24, 34_24, 35_21, 35_24, 50_24, 98_24, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings122023.zip::40579 - Rechnung 240155_2024 vom 17.02.2024, Aufträge 31_23, 33_23, 34_23, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings122023.zip::40579 - Rechnung 240155_2024 vom 17.02.2024, Aufträge 31_23, 33_23, 34_23, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
accountings122024.zip::Accountings 12-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/accountings122024.zip::Accountings 12-2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"accountings122024.zip::46583 - Rechnung 250253_2025 vom 14.03.2025, Aufträge 31_25, 33_24, 34_24, 34_25, Mandant 42303.pdf","00_INBOX - Входящи - Eingang/Accounting/accountings122024.zip::46583 - Rechnung 250253_2025 vom 14.03.2025, Aufträge 31_25, 33_24, 34_24, 34_25, Mandant 42303.pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
Aok Sachsen Anhalt copy document from bank_.eml::20250114_095805.jpg,00_INBOX - Входящи - Eingang/Accounting/Aok Sachsen Anhalt copy document from bank_.eml::20250114_095805.jpg,.jpg,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
BKK Linde already clear . I paid.eml::20250320_141334.jpg,00_INBOX - Входящи - Eingang/Accounting/BKK Linde already clear . I paid.eml::20250320_141334.jpg,.jpg,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdgsundrechnungen052025.zip::gutschrift 66 Mai 2025 zahariev.pdf,00_INBOX - Входящи - Eingang/Accounting/fwdgsundrechnungen052025.zip::gutschrift 66 Mai 2025 zahariev.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdgsundrechnungen052025.zip::gutschrift 71 2025 zahariev Sendungsverlust.pdf,00_INBOX - Входящи - Eingang/Accounting/fwdgsundrechnungen052025.zip::gutschrift 71 2025 zahariev Sendungsverlust.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdihrenmitarbeiterherrnnikolaymetodievbentigtezuar.zip::2022 Arbeitgeberbestätigung zu den Arbeitstagen.pdf,00_INBOX - Входящи - Eingang/Accounting/fwdihrenmitarbeiterherrnnikolaymetodievbentigtezuar.zip::2022 Arbeitgeberbestätigung zu den Arbeitstagen.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdihrenmitarbeiterherrnnikolaymetodievbentigtezuar.zip::2023 Arbeitgeberbestätigung zu den Arbeitstagen.pdf,00_INBOX - Входящи - Eingang/Accounting/fwdihrenmitarbeiterherrnnikolaymetodievbentigtezuar.zip::2023 Arbeitgeberbestätigung zu den Arbeitstagen.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdperemailsendengutschrift422024zaharievmartin3.zip::Gutschrift 42-2024 Zahariev Martin 30.11.2024.pdf,00_INBOX - Входящи - Eingang/Accounting/fwdperemailsendengutschrift422024zaharievmartin3.zip::Gutschrift 42-2024 Zahariev Martin 30.11.2024.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdperemailsendenmartinzaharievtransporte207008_0.zip::image222.png,00_INBOX - Входящи - Eingang/Accounting/fwdperemailsendenmartinzaharievtransporte207008_0.zip::image222.png,.png,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdperemailsendenmartinzaharievtransporte207008_0.zip::unnamed34.22png,00_INBOX - Входящи - Eingang/Accounting/fwdperemailsendenmartinzaharievtransporte207008_0.zip::unnamed34.22png,.22png,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdrechnungenmai2025.zip::Rechnung 2788 Zahariev Hermes Scannermiete.pdf,00_INBOX - Входящи - Eingang/Accounting/fwdrechnungenmai2025.zip::Rechnung 2788 Zahariev Hermes Scannermiete.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdrechnungenmai2025.zip::Rechnung 2798 Zahariev Hermes Sendungsverlust.pdf,00_INBOX - Входящи - Eingang/Accounting/fwdrechnungenmai2025.zip::Rechnung 2798 Zahariev Hermes Sendungsverlust.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdrechnungenmai2025.zip::Rechnung 2794 Zahariev KFZ Miete.pdf,00_INBOX - Входящи - Eingang/Accounting/fwdrechnungenmai2025.zip::Rechnung 2794 Zahariev KFZ Miete.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
fwdrechnungenmai2025.zip::Rechnung 2799 Bearbeitungsgebühr 10.06.2025 Zahariev.pdf,00_INBOX - Входящи - Eingang/Accounting/fwdrechnungenmai2025.zip::Rechnung 2799 Bearbeitungsgebühr 10.06.2025 Zahariev.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
Healts Vers..eml::image.png,00_INBOX - Входящи - Eingang/Accounting/Healts Vers..eml::image.png,.png,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
ihrelohnauswertungen(1).zip::Lohnauswertungen.pdf,00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungen(1).zip::Lohnauswertungen.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
ihrelohnauswertungen(1).zip::Barauszahlungswerte_O0N.pdf,00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungen(1).zip::Barauszahlungswerte_O0N.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"ihrelohnauswertungen(1).zip::Abstimmliste (DE - SEPA, Langform) (2).pdf","00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungen(1).zip::Abstimmliste (DE - SEPA, Langform) (2).pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
ihrelohnauswertungen(3).zip::38389 - Vorgangsmappe Lohn - Auszahlungen Inflationsprämie.xlsx,00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungen(3).zip::38389 - Vorgangsmappe Lohn - Auszahlungen Inflationsprämie.xlsx,.xlsx,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
"ihrelohnauswertungendezember2024.zip::Abstimmliste (DE - SEPA, Langform) (3) (1).pdf","00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungendezember2024.zip::Abstimmliste (DE - SEPA, Langform) (3) (1).pdf",.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
ihrelohnauswertungenfebruar2025.zip::SEPA List health security.pdf,00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungenfebruar2025.zip::SEPA List health security.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
Mahnung Finanzamt.eml::BRN3C2AF492C3FA_20250106_123149_036763.pdf,00_INBOX - Входящи - Eingang/Accounting/Mahnung Finanzamt.eml::BRN3C2AF492C3FA_20250106_123149_036763.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
original_msg(1).eml::20250120_162838.jpg,00_INBOX - Входящи - Eingang/Accounting/original_msg(1).eml::20250120_162838.jpg,.jpg,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
original_msg(1).eml::20250120_162844.jpg,00_INBOX - Входящи - Eingang/Accounting/original_msg(1).eml::20250120_162844.jpg,.jpg,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
original_msg(1).eml::20250120_162848.jpg,00_INBOX - Входящи - Eingang/Accounting/original_msg(1).eml::20250120_162848.jpg,.jpg,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
resteuererklrung2022und2023nikolaymetodiev.zip::2022 ArbeitgeberbestA__tigung zu den Arbeitstagen.pdf,00_INBOX - Входящи - Eingang/Accounting/resteuererklrung2022und2023nikolaymetodiev.zip::2022 ArbeitgeberbestA__tigung zu den Arbeitstagen.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
resteuererklrung2022und2023nikolaymetodiev.zip::2023 ArbeitgeberbestA__tigung zu den Arbeitstagen.pdf,00_INBOX - Входящи - Eingang/Accounting/resteuererklrung2022und2023nikolaymetodiev.zip::2023 ArbeitgeberbestA__tigung zu den Arbeitstagen.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
Zoll payment.eml::Hauptzollamt Erfurt Umbuchung der Zahlung.pdf,00_INBOX - Входящи - Eingang/Accounting/Zoll payment.eml::Hauptzollamt Erfurt Umbuchung der Zahlung.pdf,.pdf,,Duplicate file,NO,NOT_APPLICABLE,NO,0,,Use kept source file.,HIGH,DUPLICATE
1000040773.jpg,00_INBOX - Входящи - Eingang/Accounting/1000040773.jpg,.jpg,,Unsupported file type: .jpg,NO,NOT_APPLICABLE,NO,0,structured accounting fields,Convert file to PDF/TXT/CSV/XLSX/DOCX or process manually.,LOW,UNPROCESSED_WITH_REASON
1000040774.jpg,00_INBOX - Входящи - Eingang/Accounting/1000040774.jpg,.jpg,,Unsupported file type: .jpg,NO,NOT_APPLICABLE,NO,0,structured accounting fields,Convert file to PDF/TXT/CSV/XLSX/DOCX or process manually.,LOW,UNPROCESSED_WITH_REASON
1000047298 (1).jpg,00_INBOX - Входящи - Eingang/Accounting/1000047298 (1).jpg,.jpg,,Unsupported file type: .jpg,NO,NOT_APPLICABLE,NO,0,structured accounting fields,Convert file to PDF/TXT/CSV/XLSX/DOCX or process manually.,LOW,UNPROCESSED_WITH_REASON
1000047301 (1).jpg,00_INBOX - Входящи - Eingang/Accounting/1000047301 (1).jpg,.jpg,,Unsupported file type: .jpg,NO,NOT_APPLICABLE,NO,0,structured accounting fields,Convert file to PDF/TXT/CSV/XLSX/DOCX or process manually.,LOW,UNPROCESSED_WITH_REASON
10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1 (2)-1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1 (2)-1.pdf,.pdf,Operating Cost,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_01-2024_DivAuswertungen_DivMitarbeiter_2Z1.pdf,.pdf,Operating Cost,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_02-2024_DivAuswertungen_00006_5Z1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_02-2024_DivAuswertungen_00006_5Z1.pdf,.pdf,Operating Cost,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_03-2024_DivAuswertungen_DivMitarbeiter_8Z1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_03-2024_DivAuswertungen_DivMitarbeiter_8Z1.pdf,.pdf,Operating Cost,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_05-2024_DivAuswertungen_DivMitarbeiter_EZ1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_05-2024_DivAuswertungen_DivMitarbeiter_EZ1.pdf,.pdf,Operating Cost,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_06-2024_DivAuswertungen_DivMitarbeiter_HZ1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_06-2024_DivAuswertungen_DivMitarbeiter_HZ1.pdf,.pdf,Operating Cost,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_06_2025_Div_Auswertungen_Div_Mitarbeiter.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_06_2025_Div_Auswertungen_Div_Mitarbeiter.pdf,.pdf,Operating Cost,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_07-2024_DivAuswertungen_DivMitarbeiter_KZ1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_07-2024_DivAuswertungen_DivMitarbeiter_KZ1.pdf,.pdf,Operating Cost,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_08-2024_Brutto_NettoProbe_00074_NZ1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_08-2024_Brutto_NettoProbe_00074_NZ1.pdf,.pdf,Payroll,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_09-2024_DivAuswertungen_DivMitarbeiter_QZ1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_09-2024_DivAuswertungen_DivMitarbeiter_QZ1.pdf,.pdf,Operating Cost,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,.pdf,Payroll,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,00_INBOX - Входящи - Eingang/Accounting/10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,.pdf,Operating Cost,No text extracted from PDF: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber',YES,NO,NO,0,structured accounting fields,Run OCR or provide text-based source document.,LOW,UNPROCESSED_WITH_REASON
20240105_214356.jpg,00_INBOX - Входящи - Eingang/Accounting/20240105_214356.jpg,.jpg,,Unsupported file type: .jpg,NO,NOT_APPLICABLE,NO,0,structured accounting fields,Convert file to PDF/TXT/CSV/XLSX/DOCX or process manually.,LOW,UNPROCESSED_WITH_REASON
20240118_201244.jpg,00_INBOX - Входящи - Eingang/Accounting/20240118_201244.jpg,.jpg,,Unsupported file type: .jpg,NO,NOT_APPLICABLE,NO,0,structured accounting fields,Convert file to PDF/TXT/CSV/XLSX/DOCX or process manually.,LOW,UNPROCESSED_WITH_REASON
